case,reference,tensor,dtype,units,bytes_equal,actual_sha256,reference_sha256,different_bytes,signedMean,meanAbsolute,rms,maximumAbsolute
incoming-history-only,captured45,incomingHistory,float32,native tensor domain,False,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,09e747ebe39c60fa878cb1e51c4bad9d5571cd81dbb29e55fc118cc42527be1d,1079436,-0.0003006474130015872,0.00103960744803544,0.002189496595571597,0.0369873046875
incoming-history-only,captured45,logicalFeatures,float32,native tensor domain,False,e451ff4a56959ad419c8fc3cf63e9197055b7e2ae3a2a03671cd82cdf311675e,b34c3b1f97e85832946cfa6108891678eb9a29b4fd660ffbcc8ed5f17973bb29,427815,-1.0156452067909703e-05,1.2545505216207983e-05,4.8029700290603166e-05,0.002593994140625
incoming-history-only,captured45,logicalHead,float16,native tensor domain,False,a3202835ee6b87dffff6fab285ac3e709aa9d7486de9cf929c2fc99303bdebed,4ccb12f0fefed5b5a0b6e55ec3defcd4c8d9763635783a8f42761b7912f7569d,1064628,-0.05195787595888154,0.07084977806456057,0.18867842774305194,2.12109375
incoming-history-only,captured45,motion,float32,native tensor domain,True,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,0,0.0,0.0,0.0,0.0
incoming-history-only,captured45,networkFeatures,float32,native tensor domain,False,e818847de298a89009250469d8d4f37e830d00ec8853c93a8b9985c1e0f43a33,f363567f9b4f5da18f8449a578170e99ca6b0a1046604aed47111c0af1369776,465480,-9.773733731144318e-06,1.198077775974582e-05,4.6166856038452016e-05,0.002593994140625
incoming-history-only,captured45,networkHead,float16,native tensor domain,False,2b5ff42bcd7079a852e7ffbd54a4e0d14415064e8c122b81f8a571ef28bd540a,9387f9627b69c91696ce47fbb1dd34ad15eba3d12321d3a6c1654e443fc8b087,1180244,-0.04760434446125146,0.06755203773591348,0.18123205819704324,2.12109375
incoming-history-only,captured45,postprocessedSDR,float32,native tensor domain,False,650426f4de3fb84e6fbf6e72917b0af237527eb5fd1feb513c0758e1073956e8,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,1082750,-5.86621871434545e-05,0.0013122541694369997,0.003710340707658152,0.0706787109375
incoming-history-only,captured45,preparedFeatures,float16,native tensor domain,False,8a11db96ded5f5eaa02290a7becb34e758ccdf026bbf5b225221ffe37caf5307,e52786f9602c80ddb15acd0b53dd03d8d694d8641246e61f440f0585e52cf502,354901,-9.773650754141272e-06,1.1980644057985045e-05,4.6166620886134496e-05,0.002593994140625
incoming-history-only,actual46,color,float32,native tensor domain,True,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,0,0.0,0.0,0.0,0.0
incoming-history-only,actual46,confidence,float32,native tensor domain,True,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,0,0.0,0.0,0.0,0.0
incoming-history-only,actual46,depth,float32,native tensor domain,True,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,ffcaf79cd731afb703849d9bbda978a6b7478ac2d719ccba895f2e7007e91439,0,0.0,0.0,0.0,0.0
incoming-history-only,actual46,fullResolutionModel,float32,native tensor domain,False,55080950bdbd4bf65d8b22b24e99cd1be20da2523dffaf253851e3767ca93612,6438e99da25f1eed08bba556aaba62d10edc7a1b2c164770dc7dcd74df3982d6,4047186,-0.0005958053362088255,0.0009836966765979314,0.002030572726897773,0.041150808334350586
incoming-history-only,actual46,fullResolutionProxy,float32,native tensor domain,True,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,15e9e92059e12c6b8e29c23bc016fc24726cd3a68db3f160100a2d1409aff722,0,0.0,0.0,0.0,0.0
incoming-history-only,actual46,incomingHistory,float32,native tensor domain,True,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,b3540620ad4b754f90f6bd194292b6df811ba5e048c237c4aac214fd78bf18f2,0,0.0,0.0,0.0,0.0
incoming-history-only,actual46,logicalFeatures,float32,native tensor domain,False,e451ff4a56959ad419c8fc3cf63e9197055b7e2ae3a2a03671cd82cdf311675e,350c64f3996a6dd5616e04c686f00f9d42fcf14a04f6d2265350d3b9b0dc309a,1178277,-0.00041732131757675635,0.2116411672738094,0.6129518252786625,6.51953125
incoming-history-only,actual46,logicalHead,float16,native tensor domain,False,a3202835ee6b87dffff6fab285ac3e709aa9d7486de9cf929c2fc99303bdebed,c738d5bccdad3fff9892d56965beab9a4af56556f31d8f61c1a37794a39c4b68,985956,-0.03221070588380018,0.058567885969649874,0.14683078408149902,1.6788330078125
incoming-history-only,actual46,motion,float32,native tensor domain,True,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,e08d642195483e5877337e4b00bafb8ba1e9e00210ca6a4954eaa6cf0a5b6620,0,0.0,0.0,0.0,0.0
incoming-history-only,actual46,networkFeatures,float32,native tensor domain,False,e818847de298a89009250469d8d4f37e830d00ec8853c93a8b9985c1e0f43a33,7bd69224422bce84555596db27473e2769bf66be885d278f6aefa2a566413e05,1309190,-0.0002760184560429479,0.21161807306871197,0.6128543168771716,6.51953125
incoming-history-only,actual46,networkHead,float16,native tensor domain,False,2b5ff42bcd7079a852e7ffbd54a4e0d14415064e8c122b81f8a571ef28bd540a,6dc91abb7344665f23b962e11644ad71c17dc7c7f353b896879e64018af371b6,1098955,-0.03044108854546721,0.05809591786355668,0.14540650202653121,1.6788330078125
incoming-history-only,actual46,postprocessedSDR,float32,native tensor domain,False,650426f4de3fb84e6fbf6e72917b0af237527eb5fd1feb513c0758e1073956e8,306c88adaaa2e9fb956e9f0dc7eecc3aa8f732f48ccf1f0162c9342fd035d0f2,1067311,-0.0005958210058915265,0.0009971813645877235,0.002059321319145447,0.0421142578125
incoming-history-only,actual46,preparedFeatures,float16,native tensor domain,False,8a11db96ded5f5eaa02290a7becb34e758ccdf026bbf5b225221ffe37caf5307,654c9cec152d7c7724d7e72aa3b9ff038f9c2c0e75c59e9e25f69e45229c3ba7,967060,-0.0002760184560429479,0.21161807306871197,0.6128543168771716,6.51953125
incoming-history-only,enhanced45,enhanced,float32,RGB component cd/m2,False,40e93df00cd7e8f08fae52898b76d8ada6143b26654d1c8bcfb90b9c26edc673,475a5d0c82a64f1a2bf877a38a052dbbb0523c6ec6b0c5e5dfceb884fdce6338,4389958,-0.657563824128087,0.7300136171661903,8.770974010412841,294.0015869140625
incoming-history-only,enhanced46,enhanced,float32,RGB component cd/m2,False,40e93df00cd7e8f08fae52898b76d8ada6143b26654d1c8bcfb90b9c26edc673,95391140dcf1786acb18a0adb7d1253b4f0f53c0d7b018667333126fb21e3fcb,4298770,-0.06299704588021592,0.2351475048186835,2.0437495683948455,132.3765869140625
incoming-history-only,original45,enhanced,float32,RGB component cd/m2,False,40e93df00cd7e8f08fae52898b76d8ada6143b26654d1c8bcfb90b9c26edc673,1ed07bcafe6eb647226266a7e922e747b3e36498f573c08b707d4a27d6c41aeb,4810716,-4.8083043036397894,5.511242493710173,49.8836229726654,1957.6126098632812
joint,captured45,color,float32,native tensor domain,True,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,d3b66f3cf93ebfbf5053546a1df459c16e23af2febba46f90eb8a433ccc6d90b,0,0.0,0.0,0.0,0.0
joint,captured45,confidence,float32,native tensor domain,True,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,f51c91d28bb8a48d0e651aca1de8a95c7268a7256186755cc1f593a8daf1e727,0,0.0,0.0,0.0,0.0
