sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,residual,controlHistoryReset,flashHistoryReset,publicMotionRequested,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
31,31,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2571918.293006373,3158936.1943584806,1102395196.5333195,-3.720946604465239,4.570220188597339,39.93620485158186,1704.2232666015625,-1704.2232666015625,31,447,226,B
31,31,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2716506.1013011374,3251590.5894129314,1165016349.5644794,-3.9301303548916917,4.704268792553431,41.054819338548214,1697.372802734375,-1697.372802734375,31,447,226,B
31,31,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-144587.80829476425,207426.9942658958,2416523.165146216,-0.2091837504264529,0.30009692457450204,1.8697933747849733,95.148193359375,-95.148193359375,31,471,203,B
32,32,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2732823.388233114,3323438.4328688867,1297564621.303337,-3.953737540846519,4.808215325331144,43.32740045696069,1688.634765625,-1688.634765625,32,447,226,B
32,32,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2590586.9158923533,3148714.9952074196,1022687067.5360878,-3.74795560748315,4.555432574084809,38.46533483907991,1674.0586547851562,-1674.0586547851562,32,447,226,B
32,32,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,142236.47234076052,384135.84777119686,20922419.810121518,0.2057819333633688,0.5557520945763843,5.501791034418034,219.2149658203125,219.2149658203125,32,476,231,B
33,33,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2559858.1554678353,3126215.429782775,1068675530.0636077,-3.7034984888134193,4.522881119477395,39.32068435649768,1707.2382202148438,-1707.2382202148438,33,447,226,B
33,33,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2666805.0444871583,3215658.26317207,1117545157.9311414,-3.858224890751097,4.65228336685774,40.209685461058136,1683.5497436523438,-1683.5497436523438,33,447,226,B
33,33,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-106946.88901932328,171882.1883290268,1872887.1394266665,-0.15472640193767837,0.2486721474667633,1.6460913736828575,93.015625,93.015625,33,449,228,B
34,34,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2593585.291963155,3139162.0941717573,1155556078.2979398,-3.7522935358263236,4.541611826058677,40.88779103682249,1692.13525390625,-1692.13525390625,34,447,226,B
34,34,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2561013.5941322083,3104963.4453601474,1033561486.0183539,-3.705170130399607,4.492134614236324,38.669298544333756,1678.4539794921875,-1678.4539794921875,34,447,226,B
34,34,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,32571.69783094665,225991.13141175965,5366766.660362647,0.047123405426716794,0.3269547618804393,2.7864707710944234,113.2950439453125,113.2950439453125,34,461,226,B
35,35,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2660018.2351011615,3239282.779006956,1214018223.0254374,-3.8484060114310785,4.686462353887379,41.90933195687476,1699.298583984375,-1699.298583984375,35,447,226,B
35,35,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2587994.9257178055,3134713.7211427437,1070697777.3472061,-3.744205621698214,4.535176101190312,39.35786990228738,1678.0005493164062,-1678.0005493164062,35,447,226,B
35,35,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,72023.30938335601,205071.66504479572,6015978.197694174,0.1042003897328646,0.2966893302152716,2.950198664669191,162.6976318359375,162.6976318359375,35,476,231,B
36,36,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2703469.3518749936,3300832.322975145,1268944782.1019597,-3.9112693169487756,4.775509726526541,42.84690902497791,1694.3451538085938,-1694.3451538085938,36,452,232,B
36,36,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2623747.05646458,3210848.800032285,1124744058.628579,-3.7959303478943576,4.64532523152819,40.338987110706384,1665.614501953125,-1665.614501953125,36,452,232,B
36,36,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,79722.29541041376,203885.83771001967,5985032.279803544,0.11533896905441805,0.2949737235388016,2.942601037818639,137.3446044921875,137.3446044921875,36,448,223,B
37,37,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2614266.0786068207,3190992.922137416,1151985717.510792,-3.7822136553918124,4.616598556333067,40.824575972606986,1706.6436157226562,-1706.6436157226562,37,447,226,B
37,37,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2570080.4624326318,3141185.9536448806,1081126509.4848406,-3.7182877060657287,4.544539863490857,39.549080748202435,1691.5305786132812,-1691.5305786132812,37,447,226,B
37,37,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,44185.61617418891,159491.34252573783,2627683.146413907,0.06392594932608349,0.23074557657080125,1.9497756082364515,115.8499755859375,115.8499755859375,37,471,231,B
38,38,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2478356.231574128,3085236.347297559,992179098.9059993,-3.5855848257727545,4.463594252455959,37.88725772849973,1667.8987426757812,-1667.8987426757812,38,447,226,B
38,38,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2689780.403518672,3243995.5884374334,1177493371.9182863,-3.8914647041647457,4.693280654568046,41.274077076770446,1705.079833984375,-1705.079833984375,38,447,226,B
38,38,30,1,30,returnedInput,pairedResidualDifference,False,False,automatic,691200,-211424.17194454418,268876.5341711161,10577322.750478156,-0.305879878391991,0.3889996154096008,3.9118844087508373,197.1446533203125,-197.1446533203125,38,476,231,B
39,39,30,1,30,returnedInput,controlEnhancedMinusOriginal,False,False,automatic,691200,-2630591.7327875393,3227982.994102706,1150934541.6574328,-3.8058329467412317,4.670114285449517,40.80594570579394,1691.6585083007812,-1691.6585083007812,39,452,232,B
39,39,30,1,30,returnedInput,flashEnhancedMinusOriginal,False,False,automatic,691200,-2552875.6210776526,3123346.9879894215,1065557405.9081436,-3.693396442531326,4.5187311747532135,39.26327855986919,1699.2706909179688,-1699.2706909179688,39,447,226,B
