sampleKind,sourceFrameIndex,previousSourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,metric,controlHistoryReset,grainHistoryReset,componentCount,sumNits,sumAbsoluteNits,sumSquaredNits2,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,signedValueAtMaximumNits,maximumSourceFrameIndex,maximumX,maximumY,maximumChannel
frame,14,,14,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,R
adjacent,14,13,14,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,R
adjacent,14,13,14,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,R
adjacent,14,13,14,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,0,R
frame,15,,15,30,1,30,prefix,C,False,False,691200,-2595356.4055454656,3205637.095210783,1120863654.1710496,-3.7548559108007313,4.637785149321156,40.269341564509524,1706.669921875,-1706.669921875,15,447,226,B
frame,15,,15,30,1,30,prefix,R,False,False,691200,-2595356.4055454656,3205637.095210783,1120863654.1710496,-3.7548559108007313,4.637785149321156,40.269341564509524,1706.669921875,-1706.669921875,15,447,226,B
frame,15,,15,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,R
frame,15,,15,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,R
frame,15,,15,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,R
adjacent,15,14,15,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,R
adjacent,15,14,15,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,R
adjacent,15,14,15,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,R
frame,16,,16,30,1,30,prefix,C,False,False,691200,-2551508.9672634206,3120283.497255107,1078711595.6703224,-3.691419223471384,4.514299041167689,39.50488563591052,1669.9317626953125,-1669.9317626953125,16,447,226,B
frame,16,,16,30,1,30,prefix,R,False,False,691200,-2551508.9672634206,3120283.497255107,1078711595.6703224,-3.691419223471384,4.514299041167689,39.50488563591052,1669.9317626953125,-1669.9317626953125,16,447,226,B
frame,16,,16,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,R
frame,16,,16,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,R
frame,16,,16,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,R
adjacent,16,15,16,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,R
adjacent,16,15,16,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,R
adjacent,16,15,16,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0,R
frame,17,,17,30,1,30,prefix,C,False,False,691200,-2691605.9654544564,3320763.8839161964,1282677569.7978897,-3.8941058527986927,4.804345896869497,43.07813425334553,1712.2186279296875,-1712.2186279296875,17,447,226,B
frame,17,,17,30,1,30,prefix,R,False,False,691200,-2691605.9654544564,3320763.8839161964,1282677569.7978897,-3.8941058527986927,4.804345896869497,43.07813425334553,1712.2186279296875,-1712.2186279296875,17,447,226,B
frame,17,,17,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,R
frame,17,,17,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,R
frame,17,,17,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,R
adjacent,17,16,17,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,R
adjacent,17,16,17,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,R
adjacent,17,16,17,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,R
frame,18,,18,30,1,30,prefix,C,False,False,691200,-2680795.683204543,3307896.6411064975,1262565045.6386008,-3.878465976858424,4.785730094193428,42.73906491951754,1703.5408935546875,-1703.5408935546875,18,447,226,B
frame,18,,18,30,1,30,prefix,R,False,False,691200,-2680795.683204543,3307896.6411064975,1262565045.6386008,-3.878465976858424,4.785730094193428,42.73906491951754,1703.5408935546875,-1703.5408935546875,18,447,226,B
frame,18,,18,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,R
frame,18,,18,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,R
frame,18,,18,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,R
adjacent,18,17,18,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,R
adjacent,18,17,18,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,R
adjacent,18,17,18,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,R
frame,19,,19,30,1,30,prefix,C,False,False,691200,-2909027.411387952,3480518.23469189,1453210481.9948928,-4.208662342864514,5.035471983061184,45.852434182698765,1734.0707397460938,-1734.0707397460938,19,447,226,B
frame,19,,19,30,1,30,prefix,R,False,False,691200,-2909027.411387952,3480518.23469189,1453210481.9948928,-4.208662342864514,5.035471983061184,45.852434182698765,1734.0707397460938,-1734.0707397460938,19,447,226,B
frame,19,,19,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,R
frame,19,,19,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,R
frame,19,,19,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,R
adjacent,19,18,19,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,R
adjacent,19,18,19,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,R
adjacent,19,18,19,30,1,30,prefix,deltaD,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,R
frame,20,,20,30,1,30,prefix,C,False,False,691200,-2550509.390540695,3115178.7226528283,1046278856.7190163,-3.6899730765924406,4.506913661245411,38.906472774146835,1674.8615112304688,-1674.8615112304688,20,447,226,B
frame,20,,20,30,1,30,prefix,R,False,False,691200,-2550509.390540695,3115178.7226528283,1046278856.7190163,-3.6899730765924406,4.506913661245411,38.906472774146835,1674.8615112304688,-1674.8615112304688,20,447,226,B
frame,20,,20,30,1,30,prefix,G,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,R
frame,20,,20,30,1,30,prefix,Q,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,R
frame,20,,20,30,1,30,prefix,D,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,R
adjacent,20,19,20,30,1,30,prefix,deltaG,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,R
adjacent,20,19,20,30,1,30,prefix,deltaQ,False,False,691200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,R
