sourceFrameIndex,ptsValue,ptsTimescale,durationValue,durationTimescale,phase,generation,historyReset,usedModel,publicMotionRequested,region,residual,regionPixels,temporalSupportPixels,temporalUnavailableReason,signedMeanNits,meanAbsoluteNits,rmsNits,maximumAbsoluteNits,temporalSignedMeanNits,temporalMeanAbsoluteNits,temporalRmsNits,temporalMaximumAbsoluteNits
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-4.93834342078294,5.631433040864608,56.71067548108343,2023.4971618652344,0.16736420771338065,0.6236878618828015,6.063799640487184,436.51806640625
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-8.312687880857803e-11,4.1892451889993866e-08,1.8081050620618905e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-0.6346359390479965,3.8655465804616114,8.601155684105382,164.0684051513672,-0.11346452354024121,0.7069350043823169,1.1802023878821952,22.509017944335938
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,-5.713560644339468,7.346676631665005,41.99013573449706,823.3215942382812,,,,
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,6.127936020969279e-10,7.62185831179564e-08,2.3241390027395485e-07,9.5367431640625e-07,,,,
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,3240,0,no visible same-material predecessor,0.2522102553535391,0.2522102553535391,0.25719009363038586,0.39789581298828125,,,,
11,11,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,identityMinusOriginal,3240,0,no visible same-material predecessor,-4.292515570244181e-10,2.3339020371927645e-08,7.326037873599772e-08,2.384185791015625e-07,,,,
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-3.294728424534317,4.007188288097812,40.73916984351107,1966.701171875,1.1431830815861537,1.3674707254825156,15.142631920581321,627.4346923828125
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-8.8403688098158e-11,4.109300386095737e-08,1.752082273929275e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,enhancedMinusOriginal,83520,83520,,-0.9547867361627433,3.823794553979356,8.130772838389445,175.8478546142578,-0.32015079711474675,0.7092263588303579,1.2853951496670823,25.920172691345215
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,foreground,identityMinusOriginal,83520,83520,,-7.631373740399629e-09,2.1883582703455198e-07,7.409539035351461e-07,3.814697265625e-06,0.0,0.0,0.0,0.0
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,enhancedMinusOriginal,10440,0,no visible same-material predecessor,-0.09522108560092604,1.2114794628335446,2.1087773228875966,19.117265701293945,,,,
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,newlyRevealedBackground,identityMinusOriginal,10440,0,no visible same-material predecessor,1.788900577550038e-10,1.0202442549197609e-07,3.098122262754391e-07,1.9073486328125e-06,,,,
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,enhancedMinusOriginal,3240,0,no visible same-material predecessor,0.23547439126320827,0.23547439126320827,0.24176329768885807,0.3746175765991211,,,,
12,12,30,1,30,panAndOcclusion,1,False,True,automatic,newViewportBackground,identityMinusOriginal,3240,0,no visible same-material predecessor,-3.5566557582023215e-10,2.3510720994737412e-08,7.35988576243085e-08,2.384185791015625e-07,,,,
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,background,enhancedMinusOriginal,434880,421200,,-1.837685490106994,2.6085614819276723,26.29866520351457,1994.1754150390625,-0.2466558173712603,0.5875832564786218,8.1366468554159,964.341552734375
13,13,30,1,30,panAndOcclusion,1,False,True,automatic,background,identityMinusOriginal,434880,421200,,-1.178258974703615e-10,4.298450013630408e-08,1.8356621551823422e-07,1.9073486328125e-06,0.0,0.0,0.0,0.0
